File type	File format type	Output type	File assembly	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Experiment target	Library made from	Experiment date released	Project	File download URL
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF670-human	DNA	2022-08-15	ENCODE	https://www.encodeproject.org/files/ENCFF265QIF/@@download/ENCFF265QIF.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF143-human	DNA	2020-07-08	ENCODE	https://www.encodeproject.org/files/ENCFF698ITQ/@@download/ENCFF698ITQ.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZBTB11-human	DNA	2022-06-10	ENCODE	https://www.encodeproject.org/files/ENCFF083GTV/@@download/ENCFF083GTV.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZSCAN12-human	DNA	2021-08-13	ENCODE	https://www.encodeproject.org/files/ENCFF594DAV/@@download/ENCFF594DAV.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF146-human	DNA	2022-08-15	ENCODE	https://www.encodeproject.org/files/ENCFF624JML/@@download/ENCFF624JML.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002370	thymus	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-09-14	ENCODE	https://www.encodeproject.org/files/ENCFF315UOF/@@download/ENCFF315UOF.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	ara-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF236CUV/@@download/ENCFF236CUV.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	fkh-10-celegans	DNA	2017-11-22	modENCODE	https://www.encodeproject.org/files/ENCFF081QIY/@@download/ENCFF081QIY.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	NTR:0000647	right cerebral cortex	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-06-30	ENCODE	https://www.encodeproject.org/files/ENCFF133PSU/@@download/ENCFF133PSU.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	EFO:0002824	HCT116	cell line	Homo sapiens	5-Phenyl-1H-indole-3-acetic acid	CRISPR	insertion	/genes/17/	H3K36me3-human	DNA	2022-04-27	ENCODE	https://www.encodeproject.org/files/ENCFF555IAH/@@download/ENCFF555IAH.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0000897	CD4-positive, alpha-beta memory T cell	primary cell	Homo sapiens	NA	NA	NA	NA	H3K27ac-human	DNA	2020-09-06	ENCODE	https://www.encodeproject.org/files/ENCFF880RNP/@@download/ENCFF880RNP.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0002351	progenitor cell of endocrine pancreas	in vitro differentiated cells	Homo sapiens	NA	NA	NA	NA	H3K9me3-human	DNA	2021-06-24	ENCODE	https://www.encodeproject.org/files/ENCFF324TEZ/@@download/ENCFF324TEZ.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	EFO:0002824	HCT116	cell line	Homo sapiens	5-Phenyl-1H-indole-3-acetic acid	CRISPR	insertion	/genes/17/	NA	DNA	2021-09-20	ENCODE	https://www.encodeproject.org/files/ENCFF539PCI/@@download/ENCFF539PCI.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	TF ChIP-seq	CL:0000679	glutamatergic neuron	in vitro differentiated cells	Homo sapiens	NA	CRISPR, TALEN	insertion	/genes/17/	FOSL1-human	DNA	2022-08-17	ENCODE	https://www.encodeproject.org/files/ENCFF024MZE/@@download/ENCFF024MZE.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	DDIT3-human	DNA	2020-07-09	ENCODE	https://www.encodeproject.org/files/ENCFF659PQJ/@@download/ENCFF659PQJ.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0001255	urinary bladder	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2022-04-07	ENCODE	https://www.encodeproject.org/files/ENCFF518WVZ/@@download/ENCFF518WVZ.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	NA	NA	NA	NA	H3K27ac-human	DNA	2022-03-28	ENCODE	https://www.encodeproject.org/files/ENCFF560FFV/@@download/ENCFF560FFV.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZHX2-human	DNA	2022-03-28	ENCODE	https://www.encodeproject.org/files/ENCFF226FPR/@@download/ENCFF226FPR.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens	NA	CRISPR	insertion	NA	HMGA2-human	DNA	2021-05-18	ENCODE	https://www.encodeproject.org/files/ENCFF835PIH/@@download/ENCFF835PIH.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	NA	NA	NA	NA	H3K27ac-human	DNA	2022-04-27	ENCODE	https://www.encodeproject.org/files/ENCFF315DZA/@@download/ENCFF315DZA.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	BRCA1-human	DNA	2020-07-15	ENCODE	https://www.encodeproject.org/files/ENCFF620FIH/@@download/ENCFF620FIH.bed.gz
bed	narrowPeak	IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	F44E2.7-celegans	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF201AEZ/@@download/ENCFF201AEZ.bed.gz
bed	narrowPeak	peaks	GRCh38	DNase-seq	NTR:0000669	stimulated activated CD8-positive, alpha-beta memory T cell	primary cell	Homo sapiens	Interleukin-15, anti-CD3 and anti-CD28 coated beads	NA	NA	NA	NA	DNA	2020-09-28	ENCODE	https://www.encodeproject.org/files/ENCFF290RGW/@@download/ENCFF290RGW.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002106	spleen	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2022-04-07	ENCODE	https://www.encodeproject.org/files/ENCFF700BAG/@@download/ENCFF700BAG.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0001987	placenta	tissue	Homo sapiens	NA	NA	NA	NA	H3K36me3-human	DNA	2022-06-09	ENCODE	https://www.encodeproject.org/files/ENCFF332MNI/@@download/ENCFF332MNI.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	drap-1-celegans	DNA	2018-06-12	modERN	https://www.encodeproject.org/files/ENCFF135RGF/@@download/ENCFF135RGF.bed.gz
bed	narrowPeak	pseudoreplicated peaks	mm10	ATAC-seq	UBERON:0002107	liver	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2017-10-10	ENCODE	https://www.encodeproject.org/files/ENCFF470CZJ/@@download/ENCFF470CZJ.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0007610	tibial artery	tissue	Homo sapiens	NA	NA	NA	NA	H3K27me3-human	DNA	2019-09-11	ENCODE	https://www.encodeproject.org/files/ENCFF940FJV/@@download/ENCFF940FJV.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	BRD4-human	DNA	2020-07-08	ENCODE	https://www.encodeproject.org/files/ENCFF440ODC/@@download/ENCFF440ODC.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0009747	WTC11	cell line	Homo sapiens	NA	CRISPR	insertion	NA	AR-human	DNA	2021-11-08	ENCODE	https://www.encodeproject.org/files/ENCFF414STO/@@download/ENCFF414STO.bed.gz
bed	narrowPeak	replicated peaks	GRCh38	ATAC-seq	CL:0000907	central memory CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	DNA	2022-06-08	ENCODE	https://www.encodeproject.org/files/ENCFF662SIF/@@download/ENCFF662SIF.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG16779-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF472HIX/@@download/ENCFF472HIX.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	Adf1-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF441NFJ/@@download/ENCFF441NFJ.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	skn-1-celegans	DNA	2017-11-06	modENCODE	https://www.encodeproject.org/files/ENCFF102UPA/@@download/ENCFF102UPA.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	BRF2-human	DNA	2022-10-03	ENCODE	https://www.encodeproject.org/files/ENCFF647CDO/@@download/ENCFF647CDO.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0000473	testis	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-06-07	ENCODE	https://www.encodeproject.org/files/ENCFF891NLA/@@download/ENCFF891NLA.bed.gz
bed	bed9	merged transcription segment quantifications	GRCh38	Bru-seq	EFO:0002824	HCT116	cell line	Homo sapiens	5-Phenyl-1H-indole-3-acetic acid	CRISPR	insertion	/genes/17/	NA	RNA	2021-10-04	ENCODE	https://www.encodeproject.org/files/ENCFF033NFW/@@download/ENCFF033NFW.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	B-H2-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF915KPO/@@download/ENCFF915KPO.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	nhr-76-celegans	DNA	2017-11-06	modENCODE	https://www.encodeproject.org/files/ENCFF634NVZ/@@download/ENCFF634NVZ.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF140-human	DNA	2021-12-08	ENCODE	https://www.encodeproject.org/files/ENCFF207XCM/@@download/ENCFF207XCM.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	ken-dmelanogaster	DNA	2022-11-23	modERN	https://www.encodeproject.org/files/ENCFF358NDQ/@@download/ENCFF358NDQ.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG17568-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF760SXR/@@download/ENCFF760SXR.bed.gz
bed	narrowPeak	peaks	GRCh38	DNase-seq	NTR:0000661	stimulated activated naive B cell	primary cell	Homo sapiens	anti-IgM, anti-CD40, Interleukin-4	NA	NA	NA	NA	DNA	2021-09-02	ENCODE	https://www.encodeproject.org/files/ENCFF321KEW/@@download/ENCFF321KEW.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF221-human	DNA	2022-01-13	ENCODE	https://www.encodeproject.org/files/ENCFF120BVS/@@download/ENCFF120BVS.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	NTR:0000647	right cerebral cortex	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-10-06	ENCODE	https://www.encodeproject.org/files/ENCFF967GVN/@@download/ENCFF967GVN.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0000546	T-helper 2 cell	primary cell	Homo sapiens	Interferon-gamma antibody, Interleukin-4	NA	NA	NA	H3K36me3-human	DNA	2021-06-24	ENCODE	https://www.encodeproject.org/files/ENCFF649UXA/@@download/ENCFF649UXA.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0002084	heart left ventricle	tissue	Homo sapiens	NA	NA	NA	NA	H3K4me1-human	DNA	2020-09-03	ENCODE	https://www.encodeproject.org/files/ENCFF463WJH/@@download/ENCFF463WJH.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	NTR:0000667	stimulated activated naive CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	Interleukin-15, Interleukin-2, anti-CD3 and anti-CD28 coated beads	NA	NA	NA	H3K36me3-human	DNA	2021-06-24	ENCODE	https://www.encodeproject.org/files/ENCFF615MBG/@@download/ENCFF615MBG.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	mld-dmelanogaster	DNA	2022-11-23	modERN	https://www.encodeproject.org/files/ENCFF572AWU/@@download/ENCFF572AWU.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG11247-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF148CZG/@@download/ENCFF148CZG.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0009747	WTC11	cell line	Homo sapiens	NA	CRISPR	insertion	NA	PRRX2-human	DNA	2021-12-08	ENCODE	https://www.encodeproject.org/files/ENCFF728JNA/@@download/ENCFF728JNA.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	NFXL1-human	DNA	2021-08-26	ENCODE	https://www.encodeproject.org/files/ENCFF201WFM/@@download/ENCFF201WFM.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	NTR:0000502	activated naive CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	NA	NA	NA	NA	H3K36me3-human	DNA	2021-09-27	ENCODE	https://www.encodeproject.org/files/ENCFF694LJZ/@@download/ENCFF694LJZ.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF527-human	DNA	2022-10-03	ENCODE	https://www.encodeproject.org/files/ENCFF442AHG/@@download/ENCFF442AHG.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	stc-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF319KMR/@@download/ENCFF319KMR.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0002080	heart right ventricle	tissue	Homo sapiens	NA	NA	NA	NA	H3K36me3-human	DNA	2020-09-15	ENCODE	https://www.encodeproject.org/files/ENCFF690HEH/@@download/ENCFF690HEH.bed.gz
bed	narrowPeak	peaks	GRCh38	DNase-seq	CL:0000862	suppressor macrophage	primary cell	Homo sapiens	NA	NA	NA	NA	NA	DNA	2022-06-07	ENCODE	https://www.encodeproject.org/files/ENCFF619TQP/@@download/ENCFF619TQP.bed.gz
bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	SOX13-human	DNA	2020-07-09	ENCODE	https://www.encodeproject.org/files/ENCFF935NRC/@@download/ENCFF935NRC.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZNF160-human	DNA	2022-07-15	ENCODE	https://www.encodeproject.org/files/ENCFF294DQQ/@@download/ENCFF294DQQ.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	NA	NA	NA	NA	H3K4me1-human	DNA	2020-09-02	ENCODE	https://www.encodeproject.org/files/ENCFF751KSU/@@download/ENCFF751KSU.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0000546	T-helper 2 cell	primary cell	Homo sapiens	Interferon-gamma antibody, Interleukin-4	NA	NA	NA	H3K27ac-human	DNA	2021-06-24	ENCODE	https://www.encodeproject.org/files/ENCFF433ABT/@@download/ENCFF433ABT.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002048	lung	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-10-06	ENCODE	https://www.encodeproject.org/files/ENCFF837DKV/@@download/ENCFF837DKV.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZSCAN32-human	DNA	2020-08-03	ENCODE	https://www.encodeproject.org/files/ENCFF537HHU/@@download/ENCFF537HHU.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens	NA	CRISPR	insertion	NA	BRCA2-human	DNA	2021-05-18	ENCODE	https://www.encodeproject.org/files/ENCFF740MEN/@@download/ENCFF740MEN.bed.gz
bed	narrowPeak	peaks	GRCh38	DNase-seq	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	Interleukin-1 beta	NA	NA	NA	NA	DNA	2022-06-07	ENCODE	https://www.encodeproject.org/files/ENCFF217DDB/@@download/ENCFF217DDB.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	CL:0000909	CD8-positive, alpha-beta memory T cell	primary cell	Homo sapiens	NA	NA	NA	NA	H3K4me3-human	DNA	2020-09-05	ENCODE	https://www.encodeproject.org/files/ENCFF174XIO/@@download/ENCFF174XIO.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	NTR:0000537	activated T-cell	primary cell	Homo sapiens	Interleukin-2, anti-CD3 and anti-CD28 coated beads	NA	NA	NA	H3K9me3-human	DNA	2022-04-27	ENCODE	https://www.encodeproject.org/files/ENCFF515BAN/@@download/ENCFF515BAN.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG9797-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF508PWL/@@download/ENCFF508PWL.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001203	MCF-7	cell line	Homo sapiens	NA	NA	NA	NA	DDX20-human	DNA	2017-06-29	ENCODE	https://www.encodeproject.org/files/ENCFF565XMS/@@download/ENCFF565XMS.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Mint-ChIP-seq	EFO:0001200	MCF 10A	cell line	Homo sapiens	NA	NA	NA	NA	H3K9me3-human	DNA	2022-06-02	ENCODE	https://www.encodeproject.org/files/ENCFF853HFR/@@download/ENCFF853HFR.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	dmrt93B-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF539PBL/@@download/ENCFF539PBL.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ZBTB11-human	DNA	2022-06-24	ENCODE	https://www.encodeproject.org/files/ENCFF539GWU/@@download/ENCFF539GWU.bed.gz
bed	narrowPeak	IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	CRISPR	insertion	NA	saeg-2-celegans	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF758XWE/@@download/ENCFF758XWE.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	Rfx-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF490KUD/@@download/ENCFF490KUD.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	UBERON:0002037	cerebellum	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-10-06	ENCODE	https://www.encodeproject.org/files/ENCFF620UBH/@@download/ENCFF620UBH.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	fkh-10-celegans	DNA	2017-11-06	modENCODE	https://www.encodeproject.org/files/ENCFF878LWY/@@download/ENCFF878LWY.bed.gz
bed	narrowPeak	peaks	mm10	DNase-seq	NTR:0000646	left cerebral cortex	tissue	Mus musculus	NA	NA	NA	NA	NA	DNA	2021-10-06	ENCODE	https://www.encodeproject.org/files/ENCFF488BUU/@@download/ENCFF488BUU.bed.gz
bed	narrowPeak	IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	F37B4.10-celegans	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF457BDM/@@download/ENCFF457BDM.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens	NA	NA	NA	NA	H3K27ac-human	DNA	2022-06-09	ENCODE	https://www.encodeproject.org/files/ENCFF837ELM/@@download/ENCFF837ELM.bed.gz
bed	narrowPeak	peaks	GRCh38	DNase-seq	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	DNA	2022-08-05	ENCODE	https://www.encodeproject.org/files/ENCFF931FYG/@@download/ENCFF931FYG.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	ama-1-celegans	DNA	2018-02-15	modENCODE	https://www.encodeproject.org/files/ENCFF421MQK/@@download/ENCFF421MQK.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	HLH4C-dmelanogaster	DNA	2022-11-23	modERN	https://www.encodeproject.org/files/ENCFF955OIZ/@@download/ENCFF955OIZ.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG10669-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF076SSJ/@@download/ENCFF076SSJ.bed.gz
bed	narrowPeak	pseudoreplicated peaks	mm10	Histone ChIP-seq	CL:0000235	macrophage	primary cell	Mus musculus	NA	NA	NA	NA	H3K36me3-mouse	DNA	2021-07-21	GGR	https://www.encodeproject.org/files/ENCFF268YDV/@@download/ENCFF268YDV.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	Histone ChIP-seq	UBERON:0001114	right lobe of liver	tissue	Homo sapiens	NA	NA	NA	NA	H3K27me3-human	DNA	2022-06-09	ENCODE	https://www.encodeproject.org/files/ENCFF877YOY/@@download/ENCFF877YOY.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	ce11	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Caenorhabditis elegans	NA	NA	insertion	NA	attf-4-celegans	DNA	2017-11-21	modENCODE	https://www.encodeproject.org/files/ENCFF549ZSK/@@download/ENCFF549ZSK.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG17612-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF868TUK/@@download/ENCFF868TUK.bed.gz
bed	narrowPeak	IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG9215-dmelanogaster	DNA	2022-11-01	modERN	https://www.encodeproject.org/files/ENCFF209SBW/@@download/ENCFF209SBW.bed.gz
bed	narrowPeak	optimal IDR thresholded peaks	dm6	TF ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster	NA	site-specific recombination	insertion	NA	CG12219-dmelanogaster	DNA	2018-02-05	modERN	https://www.encodeproject.org/files/ENCFF239YHI/@@download/ENCFF239YHI.bed.gz
bed	narrowPeak	IDR thresholded peaks	GRCh38	TF ChIP-seq	EFO:0001187	HepG2	cell line	Homo sapiens	NA	CRISPR	insertion	NA	ATAD3A-human	DNA	2020-07-09	ENCODE	https://www.encodeproject.org/files/ENCFF585SZT/@@download/ENCFF585SZT.bed.gz
bed	narrowPeak	pseudoreplicated peaks	GRCh38	ATAC-seq	CL:0000788	naive B cell	primary cell	Homo sapiens	NA	NA	NA	NA	NA	DNA	2021-09-09	ENCODE	https://www.encodeproject.org/files/ENCFF424JEX/@@download/ENCFF424JEX.bed.gz
