File type,File format type,Output type,File assembly,Assay,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample genetic modifications methods,Biosample genetic modifications categories,Experiment target,Library made from,Experiment date released,Project,Lab,File download URL
bed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,,,,H3K4me2-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF535CYR/@@download/ENCFF535CYR.bed.gz
bigBed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,,,,H3K4me2-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF805HWD/@@download/ENCFF805HWD.bigBed
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,,,,H3K4me2-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF406DVN/@@download/ENCFF406DVN.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,,,,H3K4me2-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF804LSD/@@download/ENCFF804LSD.bigWig
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,,,,H3K4me2-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF417IPJ/@@download/ENCFF417IPJ.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,LNCaP clone FGC,cell line,Homo sapiens,,,,CTCF-human,DNA,2012-08-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF347HBQ/@@download/ENCFF347HBQ.bigWig
bigBed,narrowPeak,optimal IDR thresholded peaks,GRCh38,TF ChIP-seq,LNCaP clone FGC,cell line,Homo sapiens,,,,CTCF-human,DNA,2012-08-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF957KCI/@@download/ENCFF957KCI.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,GRCh38,TF ChIP-seq,LNCaP clone FGC,cell line,Homo sapiens,,,,CTCF-human,DNA,2012-08-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF670NSE/@@download/ENCFF670NSE.bed.gz
bigWig,,signal p-value,GRCh38,TF ChIP-seq,LNCaP clone FGC,cell line,Homo sapiens,,,,CTCF-human,DNA,2012-08-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF647FGO/@@download/ENCFF647FGO.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,LNCaP clone FGC,cell line,Homo sapiens,,,,CTCF-human,DNA,2012-08-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF596RKE/@@download/ENCFF596RKE.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,LNCaP clone FGC,cell line,Homo sapiens,,,,CTCF-human,DNA,2012-08-27,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF519YVI/@@download/ENCFF519YVI.bigBed
tsv,,gene quantifications,GRCh38,Bru-seq,IMR-90,cell line,Homo sapiens,,,,,RNA,2021-01-14,ENCODE,"Mats Ljungman, UMichigan",https://www.encodeproject.org/files/ENCFF670PUS/@@download/ENCFF670PUS.tsv
bigWig,,plus strand signal of unique reads,GRCh38,Bru-seq,IMR-90,cell line,Homo sapiens,,,,,RNA,2021-01-14,ENCODE,"Mats Ljungman, UMichigan",https://www.encodeproject.org/files/ENCFF554WDC/@@download/ENCFF554WDC.bigWig
bigWig,,minus strand signal of unique reads,GRCh38,Bru-seq,IMR-90,cell line,Homo sapiens,,,,,RNA,2021-01-14,ENCODE,"Mats Ljungman, UMichigan",https://www.encodeproject.org/files/ENCFF421TGH/@@download/ENCFF421TGH.bigWig
bed,bed9,merged transcription segment quantifications,GRCh38,Bru-seq,IMR-90,cell line,Homo sapiens,,,,,RNA,2021-01-14,ENCODE,"Mats Ljungman, UMichigan",https://www.encodeproject.org/files/ENCFF450WQX/@@download/ENCFF450WQX.bed.gz
bigBed,bed9,merged transcription segment quantifications,GRCh38,Bru-seq,IMR-90,cell line,Homo sapiens,,,,,RNA,2021-01-14,ENCODE,"Mats Ljungman, UMichigan",https://www.encodeproject.org/files/ENCFF112JUL/@@download/ENCFF112JUL.bigBed
tsv,,gene quantifications,GRCh38,total RNA-seq,camera-type eye,tissue,Homo sapiens,,,,,RNA,2014-06-30,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF147QBI/@@download/ENCFF147QBI.tsv
bigWig,,plus strand signal of unique reads,GRCh38,total RNA-seq,camera-type eye,tissue,Homo sapiens,,,,,RNA,2014-06-30,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF676EVQ/@@download/ENCFF676EVQ.bigWig
bigWig,,minus strand signal of unique reads,GRCh38,total RNA-seq,camera-type eye,tissue,Homo sapiens,,,,,RNA,2014-06-30,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF099HWY/@@download/ENCFF099HWY.bigWig
bigBed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,Y5F2A.4-celegans,DNA,2018-03-01,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF478AHO/@@download/ENCFF478AHO.bigBed
bed,narrowPeak,optimal IDR thresholded peaks,ce11,TF ChIP-seq,whole organism,whole organisms,Caenorhabditis elegans,,,insertion,Y5F2A.4-celegans,DNA,2018-03-01,modERN,"Kevin White, UChicago",https://www.encodeproject.org/files/ENCFF427PIR/@@download/ENCFF427PIR.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,,,SP2-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF237ADX/@@download/ENCFF237ADX.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,,,SP2-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF916KCH/@@download/ENCFF916KCH.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,HepG2,cell line,Homo sapiens,,,,SP2-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF591XXC/@@download/ENCFF591XXC.bed.gz
bed,narrowPeak,peaks,GRCh38,eCLIP,HepG2,cell line,Homo sapiens,,,,STAU2-human,RNA,2018-08-30,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF992ALD/@@download/ENCFF992ALD.bed.gz
bigWig,,minus strand signal of unique reads,GRCh38,eCLIP,HepG2,cell line,Homo sapiens,,,,STAU2-human,RNA,2018-08-30,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF591CBW/@@download/ENCFF591CBW.bigWig
bigWig,,plus strand signal of unique reads,GRCh38,eCLIP,HepG2,cell line,Homo sapiens,,,,STAU2-human,RNA,2018-08-30,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF734LHC/@@download/ENCFF734LHC.bigWig
bigBed,narrowPeak,peaks,GRCh38,eCLIP,HepG2,cell line,Homo sapiens,,,,STAU2-human,RNA,2018-08-30,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF061SBF/@@download/ENCFF061SBF.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,,,,ZBTB33-human,DNA,2012-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF282CAG/@@download/ENCFF282CAG.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,,,,ZBTB33-human,DNA,2012-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF260GEA/@@download/ENCFF260GEA.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,,,,ZBTB33-human,DNA,2012-09-10,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF667JYU/@@download/ENCFF667JYU.bigBed
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me2-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF041MJC/@@download/ENCFF041MJC.bigWig
bigBed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me2-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF078PNH/@@download/ENCFF078PNH.bigBed
bed,narrowPeak,peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me2-human,DNA,2022-05-10,community,"Roderic Guigo, CRG",https://www.encodeproject.org/files/ENCFF005PPO/@@download/ENCFF005PPO.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me2-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF918ZJK/@@download/ENCFF918ZJK.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me2-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF238EQN/@@download/ENCFF238EQN.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,BLaER1,cell line,Homo sapiens,"Interleukin-3, 17β-estradiol, CSF1",,,H3K4me2-human,DNA,2022-05-10,community,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF630XNM/@@download/ENCFF630XNM.bigBed
tsv,,gene quantifications,GRCh38,small RNA-seq,urinary bladder,tissue,Homo sapiens,,,,,RNA,2014-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF355FDL/@@download/ENCFF355FDL.tsv
bigWig,,minus strand signal of unique reads,GRCh38,small RNA-seq,urinary bladder,tissue,Homo sapiens,,,,,RNA,2014-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF044JKT/@@download/ENCFF044JKT.bigWig
bigWig,,plus strand signal of unique reads,GRCh38,small RNA-seq,urinary bladder,tissue,Homo sapiens,,,,,RNA,2014-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF913EID/@@download/ENCFF913EID.bigWig
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,AIMP1-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF876FIK/@@download/ENCFF876FIK.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,AIMP1-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF021KTA/@@download/ENCFF021KTA.tsv
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,AIMP1-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF083XCY/@@download/ENCFF083XCY.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,ATF4-human,DNA,2022-07-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF250MUC/@@download/ENCFF250MUC.bed.gz
bigWig,,signal p-value,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,ATF4-human,DNA,2022-07-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF211RPU/@@download/ENCFF211RPU.bigWig
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,ATF4-human,DNA,2022-07-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF030XBX/@@download/ENCFF030XBX.bigBed
bigWig,,read-depth normalized signal,GRCh38,DNase-seq,smooth muscle cell of the brain vasculature,primary cell,Homo sapiens,,,,,DNA,2012-03-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF927QIZ/@@download/ENCFF927QIZ.bigWig
bed,narrowPeak,peaks,GRCh38,DNase-seq,smooth muscle cell of the brain vasculature,primary cell,Homo sapiens,,,,,DNA,2012-03-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF537NZX/@@download/ENCFF537NZX.bed.gz
bigBed,narrowPeak,peaks,GRCh38,DNase-seq,smooth muscle cell of the brain vasculature,primary cell,Homo sapiens,,,,,DNA,2012-03-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF436COT/@@download/ENCFF436COT.bigBed
bigBed,narrowPeak,conservative IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,JUNB-human,DNA,2020-08-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF048VXC/@@download/ENCFF048VXC.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,JUNB-human,DNA,2020-08-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF114SLT/@@download/ENCFF114SLT.bigWig
bed,narrowPeak,conservative IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,JUNB-human,DNA,2020-08-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF932KRN/@@download/ENCFF932KRN.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,H3K4me3-human,DNA,2012-08-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF764XQX/@@download/ENCFF764XQX.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,H3K4me3-human,DNA,2012-08-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF832EOL/@@download/ENCFF832EOL.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,H3K4me3-human,DNA,2012-08-06,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF964XMB/@@download/ENCFF964XMB.bigBed
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,ZNF695-human,DNA,2020-08-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF648DBO/@@download/ENCFF648DBO.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,ZNF695-human,DNA,2020-08-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF713BBY/@@download/ENCFF713BBY.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,CRISPR,insertion,ZNF695-human,DNA,2020-08-03,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF493LZB/@@download/ENCFF493LZB.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,GM12864,cell line,Homo sapiens,,,,H3K4me3-human,DNA,2011-11-17,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF178DVZ/@@download/ENCFF178DVZ.bigBed
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,GM12864,cell line,Homo sapiens,,,,H3K4me3-human,DNA,2011-11-17,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF704LTU/@@download/ENCFF704LTU.bed.gz
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,GM12864,cell line,Homo sapiens,,,,H3K4me3-human,DNA,2011-11-17,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF958UYX/@@download/ENCFF958UYX.bigWig
bed,narrowPeak,peaks,GRCh38,eCLIP,K562,cell line,Homo sapiens,,,,SRSF9-human,RNA,2022-07-19,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF781BNS/@@download/ENCFF781BNS.bed.gz
bigBed,narrowPeak,peaks,GRCh38,eCLIP,K562,cell line,Homo sapiens,,,,SRSF9-human,RNA,2022-07-19,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF430AOK/@@download/ENCFF430AOK.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,ETS1-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF402TPU/@@download/ENCFF402TPU.bigWig
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,ETS1-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF271WHK/@@download/ENCFF271WHK.bigBed
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,ETS1-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF390XVX/@@download/ENCFF390XVX.bed.gz
bed,narrowPeak,peaks,GRCh38,eCLIP,K562,cell line,Homo sapiens,,,,FMR1-human,RNA,2022-07-19,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF630KXK/@@download/ENCFF630KXK.bed.gz
bigBed,narrowPeak,peaks,GRCh38,eCLIP,K562,cell line,Homo sapiens,,,,FMR1-human,RNA,2022-07-19,ENCODE,"Gene Yeo, UCSD",https://www.encodeproject.org/files/ENCFF543KQW/@@download/ENCFF543KQW.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,all-trans-retinoic acid,CRISPR,insertion,ZNF70-human,DNA,2020-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF367PFF/@@download/ENCFF367PFF.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,all-trans-retinoic acid,CRISPR,insertion,ZNF70-human,DNA,2020-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF268RHV/@@download/ENCFF268RHV.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,all-trans-retinoic acid,CRISPR,insertion,ZNF70-human,DNA,2020-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF833ACX/@@download/ENCFF833ACX.bigBed
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,ZBTB33-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF186GYC/@@download/ENCFF186GYC.bigBed
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,ZBTB33-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF956UDZ/@@download/ENCFF956UDZ.bed.gz
bigWig,,signal p-value,GRCh38,TF ChIP-seq,A549,cell line,Homo sapiens,ethanol,,,ZBTB33-human,DNA,2012-02-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF910ELY/@@download/ENCFF910ELY.bigWig
bigWig,,signal p-value,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,all-trans-retinoic acid,CRISPR,insertion,ARNTL-human,DNA,2020-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF924RGW/@@download/ENCFF924RGW.bigWig
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,all-trans-retinoic acid,CRISPR,insertion,ARNTL-human,DNA,2020-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF836WHR/@@download/ENCFF836WHR.bigBed
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,SK-N-SH,cell line,Homo sapiens,all-trans-retinoic acid,CRISPR,insertion,ARNTL-human,DNA,2020-07-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF171XML/@@download/ENCFF171XML.bed.gz
bed,narrowPeak,peaks,mm10,DNase-seq,ZHBTc4,cell line,Mus musculus,doxycycline hyclate,,,,DNA,2020-07-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF006WRK/@@download/ENCFF006WRK.bed.gz
bigWig,,read-depth normalized signal,mm10,DNase-seq,ZHBTc4,cell line,Mus musculus,doxycycline hyclate,,,,DNA,2020-07-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF591ULD/@@download/ENCFF591ULD.bigWig
bigBed,narrowPeak,peaks,mm10,DNase-seq,ZHBTc4,cell line,Mus musculus,doxycycline hyclate,,,,DNA,2020-07-28,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF133LJD/@@download/ENCFF133LJD.bigBed
bigWig,,signal p-value,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,interferon alpha,,,STAT1-human,DNA,2011-10-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF049XRC/@@download/ENCFF049XRC.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,interferon alpha,,,STAT1-human,DNA,2011-10-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF297VLT/@@download/ENCFF297VLT.bed.gz
bigBed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,interferon alpha,,,STAT1-human,DNA,2011-10-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF412ORE/@@download/ENCFF412ORE.bigBed
bigWig,,minus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,CPSF2-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF127EIZ/@@download/ENCFF127EIZ.bigWig
tsv,,gene quantifications,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,CPSF2-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF509XOS/@@download/ENCFF509XOS.tsv
bigWig,,plus strand signal of unique reads,GRCh38,CRISPR RNA-seq,K562,cell line,Homo sapiens,,CRISPR,deletion,CPSF2-human,polyadenylated mRNA,2021-11-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF482DFW/@@download/ENCFF482DFW.bigWig
bigWig,,signal p-value,GRCh38,Histone ChIP-seq,HeLa-S3,cell line,Homo sapiens,,,,H3K36me3-human,DNA,2011-02-11,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF634IKH/@@download/ENCFF634IKH.bigWig
bed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,HeLa-S3,cell line,Homo sapiens,,,,H3K36me3-human,DNA,2011-02-11,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF348FNV/@@download/ENCFF348FNV.bed.gz
bigBed,narrowPeak,pseudoreplicated peaks,GRCh38,Histone ChIP-seq,HeLa-S3,cell line,Homo sapiens,,,,H3K36me3-human,DNA,2011-02-11,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF787VRB/@@download/ENCFF787VRB.bigBed
tsv,,transcript quantifications,GRCh38,long read RNA-seq,endothelial cell of umbilical vein,primary cell,Homo sapiens,,,,,polyadenylated mRNA,2021-12-13,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF997SQD/@@download/ENCFF997SQD.tsv
bed,narrowPeak,peaks,mm10,DNase-seq,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary cell,Mus musculus,,,,,DNA,2012-09-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF550NKM/@@download/ENCFF550NKM.bed.gz
bigWig,,read-depth normalized signal,mm10,DNase-seq,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary cell,Mus musculus,,,,,DNA,2012-09-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF451FMO/@@download/ENCFF451FMO.bigWig
bigBed,narrowPeak,peaks,mm10,DNase-seq,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary cell,Mus musculus,,,,,DNA,2012-09-07,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF306UFK/@@download/ENCFF306UFK.bigBed
tsv,,gene quantifications,GRCh38,total RNA-seq,motor neuron,in vitro differentiated cells,Homo sapiens,,,,,RNA,2022-04-05,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF234EIQ/@@download/ENCFF234EIQ.tsv
bigWig,,signal of unique reads,GRCh38,total RNA-seq,motor neuron,in vitro differentiated cells,Homo sapiens,,,,,RNA,2022-04-05,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF110EQO/@@download/ENCFF110EQO.bigWig
bed,narrowPeak,peaks,GRCh38,DNase-seq,8988T,cell line,Homo sapiens,,,,,DNA,2011-04-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF533SUL/@@download/ENCFF533SUL.bed.gz
bigBed,narrowPeak,peaks,GRCh38,DNase-seq,8988T,cell line,Homo sapiens,,,,,DNA,2011-04-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF269MOF/@@download/ENCFF269MOF.bigBed
bigWig,,read-depth normalized signal,GRCh38,DNase-seq,8988T,cell line,Homo sapiens,,,,,DNA,2011-04-19,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF140GVM/@@download/ENCFF140GVM.bigWig
bed,narrowPeak,IDR thresholded peaks,GRCh38,TF ChIP-seq,K562,cell line,Homo sapiens,,,,NRF1-human,DNA,2011-10-29,ENCODE,ENCODE Processing Pipeline,https://www.encodeproject.org/files/ENCFF410RJD/@@download/ENCFF410RJD.bed.gz
